Sample_ID,DWV_Cq,Reference_Cq,DWV_presence,Taxa,Family,Subfamily,Genus,Species,Sex,Apiary_ID,Julian_Day
Apiary_15_092620_P11,29.4,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,270
Apiary_12_092620_P12,29.41,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_12,270
Apiary_15_092620_P2,29.41,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,270
Apiary_14_090920_P8,29.425,18.78333333,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis arbustorum,M,Apiary_14,253
Apiary_8_100220_P8,29.51,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,276
Apiary_15_091620_P14,29.54,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_15,260
Apiary_8_100220_P15,29.56,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,276
Apiary_8_092520_P6,29.61,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,Q,Apiary_8,269
Apiary_15_091620_P11,29.65,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,260
Apiary_5_091420_P20,29.66,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,U,Apiary_5,258
Apiary_10_092220_P12,29.67,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_10,266
Apiary_15_092620_P10,29.67,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,270
Apiary_10_092220_P3,29.68,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,F,Apiary_10,266
Apiary_17_090820_P17,29.71,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_17,252
Apiary_15_092620_P3,29.72,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,270
Apiary_10_092220_P1,29.73,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_10,266
Apiary_17_090820_P7,29.75,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_17,252
Apiary_26_090720_P29,29.76,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,U,Apiary_26,251
Apiary_10_091220_P4,29.93,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_10,256
Apiary_11_091120_P11,30.02,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_20_091820_P12,30.02,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_20,262
Apiary_11_091120_P16,30.03,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_6_091020_P10,30.04,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_6,254
Apiary_18_092220_P13,30.04,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_18,266
Apiary_18_092220_P11,30.05,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_18,266
Apiary_16_092020_P7,30.06,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_16,264
Apiary_7_100520_P1,30.09,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_7,279
Apiary_18_092220_P6,30.13,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_18,266
Apiary_18_092220_P8,30.13,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_18,266
Apiary_8_100220_P11,30.14,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,276
Apiary_24_092320_P10,30.2,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_24,267
Apiary_4_091420_P12,30.22,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_4,258
Apiary_12_091620_P7,30.22,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_12,260
Apiary_10_091220_P16,30.26,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_10,256
Apiary_9_091220_P8,30.28,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_9,256
Apiary_15_092620_P1,30.31,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,270
Apiary_25_091120_P4,30.34,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_25,255
Apiary_18_092220_P2,30.35,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_18,266
Apiary_9_092220_P3,30.39,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_9,266
Apiary_17_092220_P13,30.405,22.6,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis tenax,M,Apiary_17,266
Apiary_9_092220_P8,30.41,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_9,266
Apiary_18_090820_P2,30.42,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_18,252
Apiary_23_091120_P23,30.48,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,255
Apiary_8_100220_P7,30.49,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,276
Apiary_15_092620_P8,30.51,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,270
Apiary_7_100520_P9,30.53,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_7,279
Apiary_3_091520_P2,30.59,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_3,259
Apiary_23_092120_P15,30.59,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,265
Apiary_14_092320_P3,30.61,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,F,Apiary_14,267
Apiary_23_092120_P12,30.61,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,265
Apiary_26_090720_P15,30.62,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_26,251
Apiary_23_091120_P11,30.66,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,255
Apiary_5_091420_P4,30.69,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_5,258
Apiary_26_090720_P22,30.71,none,1,bumble,Apidae,NA,Bombus,Bombus sp.,M,Apiary_26,251
Apiary_15_092620_P4,30.71,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,270
Apiary_4_091420_P22,30.72,none,1,bumble,Apidae,NA,Bombus,Bombus griseocollis,M,Apiary_4,258
Apiary_23_091120_P15,30.72,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,255
Apiary_26_090720_P28-B,30.73,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_26,251
Apiary_11_091120_P6,30.76,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_3_091520_P1,30.78,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_3,259
Apiary_4_091420_P14,30.78,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_4,258
Apiary_7_100520_P15,30.86,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_7,279
Apiary_8_092520_P4,30.89,20.21333333,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis arbustorum,M,Apiary_8,269
Apiary_6_092020_P6,30.95,17.46,1,wild bee,Halictidae,NA,Agapostemon,Agapostemon sp.,M,Apiary_6,264
Apiary_25_092120_P3,30.96,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_25,265
Apiary_4_091420_P13,30.98,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_4,258
Apiary_9_092220_P7,31.02,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_9,266
Apiary_18_090820_P6,31.03,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,U,Apiary_18,252
Apiary_23_092120_P5,31.05,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,265
Apiary_14_090920_P2,31.05,16.14,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis sp.,F,Apiary_14,253
Apiary_3_091520_P14,31.07,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_3,259
Apiary_6_091020_P20,31.07,31.105,1,syrphid,Syrphidae,unknown,unknown,unknown,F,Apiary_6,254
Apiary_5_091420_P5,31.08,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_5,258
Apiary_19_092720_P6,31.08,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_19,271
Apiary_15_092620_P9,31.08,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_15,270
Apiary_23_091120_P5,31.08,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,255
Apiary_21_092020_P11,31.085,15.97666667,1,wild bee,Unknown,NA,unknown,unknown,U,Apiary_21,264
Apiary_26_090720_P10,31.09,19.55,1,wild bee,Halictidae,NA,Halictus,Halictus sp.,M,Apiary_26,251
Apiary_11_092120_P14,31.1,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,265
Apiary_10_091220_P13,31.16,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_10,256
Apiary_8_091320_P2,31.16,26.565,1,wild bee,Megachilidae,NA,unknown,unknown,F,Apiary_8,257
Apiary_27_092820_P19,31.18,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_27,272
Apiary_16_092020_P14,31.19,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_16,264
Apiary_27_090720_P10,31.19,26.67,1,wild bee,Megachilidae,NA,Megachile,Megachile sp.,U,Apiary_27,251
Apiary_8_091320_P21,31.2,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_8,257
Apiary_13_090920_P1,31.2,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_13,253
Apiary_9_092220_P5,31.235,20.25,1,syrphid,Syrphidae,Eristalinae,Eristalis,Eristalis flavipes,F,Apiary_9,266
Apiary_9_091220_P16,31.24,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_9,256
Apiary_8_100220_P12,31.25,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_8,276
Apiary_2_091920_P16,31.26,none,1,bumble,Apidae,NA,Bombus,Bombus vagans,M,Apiary_2,263
Apiary_23_092120_P16,31.27,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_23,265
Apiary_26_090720_P25,31.28,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_26,251
Apiary_13_092320_P1,31.32,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,M,Apiary_13,267
Apiary_16_092020_P12,31.34,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_16,264
Apiary_11_091120_P1,31.35,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_11,255
Apiary_1_100120_P9,31.36,none,1,bumble,Apidae,NA,Bombus,Bombus impatiens,W,Apiary_1,275
